Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2009,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,807.30,714.77,"145,354,394.75","12,242,535.08",0.00,0.00
2009,01,1071 100,07099020,---Fresh chat,Somalia,,,"2,083,854.00","1,818,412.90","90,961,715.94","7,661,288.81",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,China,,,"6,663,877.60","6,650,000.00","85,860,397.43","7,231,628.11",0.00,0.00
2009,01,1071 100,06031100,--Roses,Netherlands,"55,510,795",,"1,995,327.50","1,815,657.50","76,748,769.39","6,464,197.41",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,281,500.00","1,260,000.00","39,008,906.91","3,285,541.60",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,"Korea, Republic of",,,"2,803,790.00","2,795,000.00","38,714,410.68","3,260,737.54",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"911,670.00","900,000.00","33,005,962.30","2,779,941.07",0.00,0.00
2009,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"4,940,466.60","4,827,200.00","31,169,784.43","2,625,288.21",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Saudi Arabia,,,"2,190,380.00","2,186,000.00","30,389,270.79","2,559,549.12",0.00,0.00
2009,01,1071 101,17011100,"Raw cane sugar, in solid form",United Kingdom,,,"4,556,629.00","4,543,000.00","29,674,918.87","2,499,382.53",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"1,377,638.80","1,363,140.00","28,641,360.03","2,412,330.60",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Israel,,,"1,996,143.24","1,992,244.00","26,084,813.69","2,197,004.41",0.00,0.00
2009,01,1071 100,07099020,---Fresh chat,Djibouti,,,"333,794.15","317,885.69","24,431,803.20","2,057,778.91",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Saudi Arabia,,,"1,656,815.00","1,652,925.60","22,043,324.56","1,856,608.29",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,China,,,"1,617,606.80","1,614,354.00","21,425,361.85","1,804,560.12",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Egypt,,,"1,637,268.00","1,634,000.00","21,170,203.90","1,783,069.33",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"877,500.00","864,000.00","20,957,241.48","1,765,132.48",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"697,789.00","688,800.00","20,191,381.85","1,700,627.64",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Turkey,,,"1,542,078.00","1,539,000.00","19,328,115.19","1,627,918.64",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Yemen,,,"1,450,036.00","1,447,387.00","18,572,689.15","1,564,292.56",0.00,0.00
2009,01,1071 100,17011100,"Raw cane sugar, in solid form",United Kingdom,,,"2,798,370.00","2,790,000.00","18,109,220.45","1,525,256.71",0.00,0.00
2009,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Germany,"22,667,671",UN,"103,430.00","92,249.00","17,875,513.49","1,505,572.65",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Jordan,,,"1,256,523.20","1,254,000.00","16,812,417.12","1,416,032.91",0.00,0.00
2009,01,1071 100,01029010,---OX,United Arab Emirates,"2,693",UN,"948,655.00","948,655.00","15,567,252.88","1,311,158.43",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Syrian Arab Republic,,,"1,103,128.60","1,100,350.80","15,116,519.77","1,273,195.24",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Lebanon,,,"927,823.40","926,000.00","12,691,415.10","1,068,939.78",0.00,0.00
