Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1000 100,71081300,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",Switzerland,,,"1,207.60","1,092.85","814,591,502.29","43,329,104.75",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,China,,,"13,652,520.60","13,625,239.00","423,256,259.55","22,513,511.07",0.00,0.00
2013,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Somalia,,,"3,753,674.00","3,263,340.65","307,933,952.27","16,379,378.42",0.00,0.00
2013,01,1071 100,06031100,--Roses,Netherlands,"96,333,118",,"2,992,133.73","2,626,030.36","198,080,761.51","10,536,154.68",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Israel,,,"4,057,355.50","4,049,225.00","124,996,553.94","6,648,717.50",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"1,508,997.25","1,484,750.00","115,329,095.70","6,134,493.74",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Turkey,,,"3,868,853.02","3,861,073.13","114,552,787.05","6,093,200.94",0.00,0.00
2013,01,1071 100,01029010,---OX,Somalia,"8,659",UN,"3,028,550.00","3,028,550.00","79,737,723.90","4,241,345.73",0.00,0.00
2013,01,1071 100,07099000,"Other vegetables, fresh or chilled, nes",Djibouti,,,"506,514.00","482,383.62","67,080,920.60","3,568,115.10",0.00,0.00
2013,01,1000 100,07132000,"Dried chickpeas, shelled",Pakistan,,,"5,819,550.00","5,807,934.00","63,832,594.33","3,395,332.70",0.00,0.00
2013,01,1071 100,01061910,---Camels,Egypt,"4,381",UN,"2,277,746.64","2,277,746.64","63,504,676.04","3,377,890.33",0.00,0.00
2013,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"666,034.00","660,338.00","60,491,847.70","3,217,634.36",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"945,278.00","933,600.00","59,241,030.12","3,151,101.86",0.00,0.00
2013,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"988,032.00","979,200.00","51,640,923.26","2,746,843.01",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"629,506.00","622,800.00","46,910,768.31","2,495,240.36",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"773,120.00","768,000.00","44,648,993.17","2,374,933.81",0.00,0.00
