Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD)
2016,01,1000 100,12074090,--OTHER,China,,,"34,859,018.80","34,789,000.00","722,493,432.97","33,093,777.99"
2016,01,1071 100,07099900,--OTHER,Somalia,,,"3,624,769.00","3,151,842.00","336,127,398.16","15,396,299.79"
2016,01,1071 100,06031100,--Roses,Netherlands,,,"3,407,530.00","2,998,823.02","250,698,566.95","11,483,236.16"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"2,323,786.00","2,285,800.00","152,632,213.27","6,991,311.41"
2016,01,1000 100,12074090,--OTHER,Israel,,,"6,359,429.20","6,346,000.00","128,899,722.32","5,904,245.77"
2016,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",United Arab Emirates,,,"917,429.60","893,226.92","100,902,321.88","4,621,826.15"
2016,01,1071 100,07099900,--OTHER,Djibouti,,,"653,840.00","622,689.53","99,972,328.78","4,579,227.86"
2016,01,1071 100,01022910,---OX,Somalia,"7,284",UN,"2,438,285.00","2,438,285.00","92,982,510.40","4,259,059.55"
2016,01,1071 100,12074090,--OTHER,China,,,"3,997,980.00","3,990,000.00","84,602,483.62","3,875,212.82"
2016,01,1000 100,07139000,"Dried leguminous vegetables, shelled, nes",Indonesia,,,"2,597,700.00","2,590,000.00","66,201,615.66","3,032,361.92"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Pakistan,,,"5,098,176.00","5,088,000.00","65,714,484.83","3,010,048.91"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"870,000.00","864,000.00","64,809,085.20","2,968,577.12"
2016,01,1000 100,02045000,"Fresh, chilled or frozen goat meat",Saudi Arabia,,,"555,726.00","546,061.60","64,634,342.49","2,960,573.04"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Belgium,,,"785,525.00","778,800.00","52,354,322.68","2,398,087.31"
2016,01,1000 100,09041100,Dried pepper (excl. crushed or ground),Sudan,,,"577,842.00","575,050.00","42,920,228.47","1,965,959.06"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"617,953.00","613,200.00","42,032,800.99","1,925,310.49"
2016,01,3052 505,64059000,-Other,United States,"200,442",2UN,"157,269.15","88,625.46","41,664,823.09","1,908,455.28"
2016,01,1071 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"2,690,640.00","2,680,000.00","39,983,075.24","1,831,422.90"
2016,01,1000 100,12074090,--OTHER,Jordan,,,"1,941,895.00","1,938,000.00","39,740,873.15","1,820,328.84"
2016,01,1000 100,12079990,--OTHER,United States,,,"1,953,900.00","1,950,000.00","39,681,129.72","1,817,592.30"
2016,01,1071 100,06031900,--Other cut flowers,Netherlands,,,"377,083.00","331,830.82","35,002,360.92","1,603,281.51"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",India,,,"2,988,114.00","2,981,648.00","34,992,652.11","1,602,836.80"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United States,,,"408,764.20","403,560.00","33,928,277.43","1,554,083.16"
2016,01,1000 100,12074090,--OTHER,Saudi Arabia,,,"1,559,072.82","1,555,883.00","33,853,366.10","1,550,651.85"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"618,495.00","610,800.00","33,634,110.91","1,540,608.88"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"552,288.00","545,280.00","33,047,663.95","1,513,746.71"
2016,01,1071 100,07019000,"Other potatoes, fresh or chilled",Somalia,,,"5,163,541.00","5,086,817.00","31,666,341.91","1,450,475.31"
2016,01,1000 100,12074090,--OTHER,Singapore,,,"1,522,889.70","1,519,850.00","29,329,898.66","1,343,454.64"
2016,01,1000 100,12074090,--OTHER,Yemen,,,"1,454,340.00","1,450,000.00","28,831,048.09","1,320,604.81"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"402,180.00","397,200.00","27,790,568.40","1,272,945.69"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"50,213,050",UN,"62,101.00","53,145.00","27,186,299.47","1,245,267.18"
2016,01,1000 100,07135000,"Dried broad beans and horse beans, shelled",Sudan,,,"1,715,581.00","1,708,000.00","25,433,902.60","1,164,998.72"
2016,01,1000 100,12074090,--OTHER,Turkey,,,"1,123,280.00","1,121,000.00","22,402,142.44","1,026,129.09"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"381,091.40","378,030.00","22,161,128.19","1,015,089.44"
2016,01,1071 100,12074090,--OTHER,Singapore,,,"1,142,179.80","1,139,900.00","22,023,831.19","1,008,800.56"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Germany,"19,168,255",UN,"76,674.00","58,082.00","21,843,806.39","1,000,554.53"
2016,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Kenya,,,"2,474,664.00","2,473,414.00","20,382,591.76","933,623.66"
2016,01,3052 505,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,China,,,"81,270.95","79,917.25","18,939,801.50","867,536.72"
2016,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,United States,"10,283,200",UN,"54,853.00","36,617.00","18,633,172.58","853,491.60"
2016,01,1000 100,12074090,--OTHER,Greece,,,"761,649.00","760,000.00","18,569,297.83","850,565.82"
2016,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Kingdom,,,"192,000.00","192,000.00","18,494,999.82","847,162.60"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Sudan,,,"465,144.10","461,100.00","17,780,599.55","814,439.53"
2016,01,1000 100,07139000,"Dried leguminous vegetables, shelled, nes",India,,,"721,440.00","720,000.00","17,608,457.64","806,554.58"
2016,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Saudi Arabia,,,"365,400.00","360,000.00","16,893,993.60","773,828.59"
2016,01,1000 101,12074090,--OTHER,China,,,"876,097.60","874,000.00","16,631,640.50","761,811.52"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",United Kingdom,,,"155,568.00","153,600.00","16,398,243.28","751,120.77"
2016,01,1000 100,07133900,"Dried beans, shelled, nes",Indonesia,,,"622,336.00","620,000.00","16,190,256.10","741,593.93"
2016,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Australia,,,"194,416.00","192,000.00","16,046,950.38","735,029.81"
2016,01,3052 505,64051000,"-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS",China,"45,927",2UN,"34,387.40","19,322.63","16,023,444.74","733,953.14"
